LONGITUDE,LATITUDE,TempNS,TempNW,ndviNS,ndviNW
116.5818,57.7283,5.444466306,-25.41898672,2.459193931,0.186768802
113.9277,57.406,6.154261645,-23.16199207,2.633032975,0.36000064
44.1284,57.0271,13.33363409,-5.760300752,4.048020458,1.499256614
118.6137,56.6246,3.713576494,-26.44280648,2.236749616,0.079390993
108.7314,56.657,6.849772382,-18.61557916,3.082989659,0.995085809
48.3718,56.5382,13.32115677,-6.900811771,3.818477214,1.2730516
116.027,56.3412,5.578615071,-25.03747454,2.688388664,0.289237857
45.9362,56.0276,13.6655527,-6.166940874,3.832857259,1.179440122
113.4713,56.0168,4.424164524,-23.04951157,2.256738674,0.221708451
123.0677,55.6865,7.844116122,-21.82317263,3.456088894,0.357621341
110.9498,55.6578,5.149429461,-19.58864108,2.496722158,0.426703154
50.0541,55.4799,14.05779864,-6.862128326,3.196557748,0.693134342
120.5267,55.4879,7.45200208,-22.13270931,3.421988881,0.416591172
43.5755,55.4603,13.88304643,-5.511006781,3.960760851,1.190780845
118.007,55.2428,6.329826407,-24.16175697,3.232981005,0.333042488
94.0348,55.2726,10.04632739,-13.26217209,3.840227876,1.41303444
108.4652,55.2726,7.572560336,-16.7087618,2.852266033,0.960400176
37.258,55.0481,13.54342797,-4.084963197,4.04214366,1.209672119
47.6542,55.0052,14.15139842,-6.493245383,3.62575176,0.958123706
115.5129,54.9548,6.870861978,-23.09370703,3.275748362,0.63445876
41.2985,54.8363,14.22831389,-4.912036055,4.055602737,1.340406806
96.481,54.8727,8.563987308,-16.00116341,3.901677056,1.970096243
113.0484,54.6287,5.448053333,-20.732,2.821334406,0.509489538
124.7997,54.482,9.010363248,-20.53643162,3.708642404,0.721607334
45.3207,54.4738,14.0635439,-6.111723769,3.756813056,0.881122865
98.8876,54.474,8.527165775,-15.38588235,3.756603581,1.599301979
122.3298,54.3207,8.768971061,-20.85326902,3.669295244,0.741445633
31.2829,54.255,13.4655191,-2.692953201,4.053137443,1.297167555
91.8838,54.2705,11.70080472,-11.63009657,3.413776776,0.922373522
110.6162,54.2705,6.40983871,-18.60704301,2.652400027,0.666453068
39.1145,54.1551,14.16087662,-4.618831169,3.688114263,0.85427379
119.8762,54.1126,8.014762931,-20.87575431,3.595580609,0.751707543
49.2889,53.9616,15.03927411,-6.406608884,3.265066507,0.884646378
101.25,54.0127,10.06191766,-13.79523294,3.651218998,1.198817678
43.0628,53.8848,14.46561822,-5.26632321,3.89808426,1.107926761
117.4435,53.8607,7.720663404,-22.25241979,3.456235936,0.609137971
94.2813,53.8885,9.309701897,-15.72710027,3.754646054,1.215735365
108.2187,53.8885,8.087791644,-15.63716766,2.429424286,0.937198174
115.0356,53.5685,8.12368709,-20.4356674,3.439579128,0.765830881
46.9849,53.4652,14.70383352,-6.353121577,3.807450292,1.140107964
96.6427,53.4932,5.319232877,-20.26054795,2.86282539,0.727301435
105.8573,53.4932,8.754465753,-16.23989041,3.452642751,1.192488723
37.0341,53.4164,14.00191257,-3.998306011,3.716667985,0.918843782
24.8353,53.449,13.64521597,-0.728048114,4.013859778,1.879816693
126.4319,53.2508,11.55730833,-18.29001655,3.736063397,0.946865568
40.8904,53.2373,14.91717116,-4.472096863,3.672760552,0.994996902
89.8443,53.2408,11.13257993,-12.14128997,3.652148856,1.221338753
112.6557,53.2408,7.967144432,-18.13902977,3.240483951,0.799166683
78.4686,53.125,13.93088398,-10.49635359,2.353670453,0.374460341
124.0314,53.125,10.45055371,-18.8923588,3.938814873,1.17479811
98.967,53.0989,4.642375691,-20.56828729,2.697500077,0.789149727
103.533,53.0989,10.64919934,-13.22937604,3.394925671,0.925353264
121.6429,52.9526,9.438858093,-19.83858093,3.889209644,1.30834367
44.7485,52.9107,14.79583796,-5.69772475,3.593831439,0.841061377
92.1935,52.8834,10.35072222,-14.85538889,3.791592449,1.418496726
110.3065,52.8834,7.721043865,-17.39272626,3.214297189,1.130135163
